Date,wf,mf,sf,IHT,IH,wfy,sqhdd1,dhdd1,dhdd13,hdd1t,Troloff,mx2,mn4
12/15/2022,0.961823283,0.941488331,1,0,0,0.950674824,3.209361307,-0.04,-6.40E-05,6.27,5.2,3.20356,0.500546654
12/16/2022,0.945372575,0.941488331,1,0,0,0.961823283,2.503996805,-4.03,-65.450827,9.01,9.23,13.13316,2.401
12/17/2022,0.942252607,0.941488331,1,0,0,0.945372575,3.001666204,2.74,20.570824,8.8,6.49,5.15524,1.1316496
12/18/2022,1,0.941488331,1,0,0,0.942252607,2.966479395,-0.21,-0.009261,7.21,6.7,6.98896,0.640135541
12/19/2022,0.965849858,0.941488331,1,0,0,1,2.685144316,-1.59,-4.019679,11.9,8.29,12.12201,0.955650665
12/20/2022,0.970642056,0.941488331,1,0,0,0.965849858,3.449637662,4.69,103.161709,14.18,3.6,2.42064,0.027500585
12/21/2022,0.950674824,0.941488331,1,0,0,0.970642056,3.765634077,2.28,11.852352,12.6,1.32,0.37636,0.0002401
12/22/2022,0.961823283,0.941488331,1,0,0,0.950674824,3.54964787,-1.58,-3.944312,12.76,2.9,1.296,0.023002575
12/23/2022,0.945372575,0.941488331,1,0,0,0.961823283,3.57211422,0.16,0.004096,10.5,2.74,1.33956,0.010732831
12/24/2022,0.942252607,0.941488331,1,0,0,0.945372575,3.240370349,-2.26,-11.543176,8.8,5,4.489,0.1185921
12/25/2022,1,0.941488331,1,0,0,0.942252607,2.966479395,-1.7,-4.913,7.5,6.7,5.329,1.3845841
